nconst,character,screentime,image
nm0792116,Satpal Chauhan,6156,https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_.jpg
nm1004985,Jai Singh,4726,https://m.media-amazon.com/images/M/MV5BMzczOGQwZDMtYWQxYi00NDZhLTlkNWYtMjVkMzhlODcyZmU4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5201771,Satpal's Mother,3823,https://images-na.ssl-images-amazon.com/images/I/71nOylhbeQL.png
nm2768910,Seema Chauhan,3566,https://m.media-amazon.com/images/M/MV5BNzI4YjEyNGQtMTcwZi00ZGMyLTk2ODMtYTU3ZWY0ZDRlODdmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5643409,Suresh,2678,https://images-na.ssl-images-amazon.com/images/I/818tJ5W3hCL.png
nm9963212,Tauji,2136,https://m.media-amazon.com/images/M/MV5BYTQ3MjhmMDItZTZkZS00NTJmLWJiNTMtOWVkNWEzYWM2ZjVjXkEyXkFqcGdeQXVyNTcwNDU1NTI@._V1_.jpg
nm11164946,Satpal's Friend,2034,
nm11185836,Sarita,1608,https://images-na.ssl-images-amazon.com/images/I/81pwXNObKSL.png
nm10446308,Aman,1544,https://images-na.ssl-images-amazon.com/images/I/81+JQGwoMKL.png
nm9957525,Dr. Khurana,1110,https://images-na.ssl-images-amazon.com/images/I/81C6f0Mm04L.png
nm10324938,Vajendra Ram,924,https://images-na.ssl-images-amazon.com/images/I/81yAfxaD1ZL.png
nm8784315,Political leader,843,https://images-na.ssl-images-amazon.com/images/I/81942Py2IIL.png
nm7295214,Pinky,787,https://images-na.ssl-images-amazon.com/images/I/81zWAoSUHLL.png
nm11164943,Chacha,724,
nm10546370,Seema's Friend,690,https://images-na.ssl-images-amazon.com/images/I/91oEqGBPNzL.png
nm10919888,Minti,545,
nm11164945,Masterji,470,https://images-na.ssl-images-amazon.com/images/I/71QQBIpwaOL.png
nm11164944,Inspector- Delhi Police,315,https://images-na.ssl-images-amazon.com/images/I/8150ykvNGcL.png
