nconst,character,screentime,image
nm0706787,Dalbir Kaur,6320,https://m.media-amazon.com/images/M/MV5BMjEyMjEyODkzN15BMl5BanBnXkFtZTcwODkxMTY1Mg@@._V1_.jpg
nm0393535,Sarabjit Singh,5108,https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_.jpg
nm3190246,Sukhpreet Kaur,4626,https://m.media-amazon.com/images/M/MV5BOTQ3MzVkNjUtODYwNi00N2Q2LTg3YTAtNDUxM2JiNDViN2IyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm8015221,Swapan Kaur,3302,https://ia.media-imdb.com/images/I/71YYB8wPZBL.png
nm4858742,Poonam Kaur,3171,
nm1069587,Awais Sheikh,1724,https://ia.media-imdb.com/images/I/71Th00B-EFL.png
nm8286633,Darji,1127,https://ia.media-imdb.com/images/I/71hEHzMjTjL.png
nm0451171,Abdullah Hasan,1051,https://ia.media-imdb.com/images/I/612SXa1e4tL.png
nm3752137,Mandev - Dalbir's husband,1015,https://m.media-amazon.com/images/M/MV5BYjYxOTE4NDItMDcwOC00ODA1LWJkMmItODNhMjRlZWI1NjY0XkEyXkFqcGdeQXVyMjIwMDc1Mzk@._V1_.jpg
nm5880107,Ravindra Pandit,533,https://ia.media-imdb.com/images/I/71h377pDTpL.png
nm8609354,Postman,441,https://ia.media-imdb.com/images/I/71j5dcuIvNL.png
nm8609330,Swapan 5yrs,394,https://ia.media-imdb.com/images/I/61fdW5e1eDL.png
nm8110559,Maninder,335,https://ia.media-imdb.com/images/I/51zqwhM9LeL.png
nm8609338,Chacha,311,https://ia.media-imdb.com/images/I/6179KxwF9hL.png
nm8609331,Poonam 1yr,218,https://ia.media-imdb.com/images/I/71Ix6yt1FXL.png
nm8609340,Justice Rehman,210,https://ia.media-imdb.com/images/I/81i6aVTyyhL.png
nm1428810,Swapan 15yrs,151,https://ia.media-imdb.com/images/I/61F4BdYHNgL.png
nm8609332,Poonam 12yrs,151,https://ia.media-imdb.com/images/I/6191W-ZtFhL.png
nm1915542,Ammi Jan,128,https://ia.media-imdb.com/images/I/614nXSjjpyL.png
nm8609334,Ishwar Singh,124,https://ia.media-imdb.com/images/I/61GCnJtE8WL.png
nm8609333,Poonam 5yrs,69,https://ia.media-imdb.com/images/I/61yDKr7yMXL.png
nm8609359,Swapan 8yrs,69,https://ia.media-imdb.com/images/I/51OSjPhOypL.png
nm5712551,Sarpanch,55,https://ia.media-imdb.com/images/I/81cV8iA8Y4L.png
