nconst,character,screentime,image
nm1303433,Virendra Rathod (Veer),7231,https://m.media-amazon.com/images/M/MV5BMTY1MDUyMjI1N15BMl5BanBnXkFtZTYwMjg4MjA0._V1_.jpg
nm0048075,DCP Shivansh Rathod,5984,https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1472197,Commissioner,5203,https://m.media-amazon.com/images/M/MV5BM2M4ZDdjYTMtZGIyMi00ZDRiLWI5ODQtYTUxNzQ2MTlkMWRjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9731950,Shikha,3943,https://m.media-amazon.com/images/M/MV5BNDRjNmJjZDYtOGRmZS00MjQ0LWJjMmYtZjc0NjRkMzQ5MTkyXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm7059730,Shinde,3463,https://ia.media-imdb.com/images/I/81ajFPrHCeL.png
nm7648624,DCP Rane,2815,https://ia.media-imdb.com/images/I/811DULF8YHL.png
nm1241985,Inspector Shiv Rathod,1638,https://ia.media-imdb.com/images/I/81BIPmQwC2L.png
nm9511367,Shivansh's Daughter,1474,https://ia.media-imdb.com/images/I/81UrH74sa1L.png
nm1213248,Satish Bhosale,1340,https://ia.media-imdb.com/images/I/81BIDOOJCbL.png
nm3035081,Sarita,1294,https://m.media-amazon.com/images/M/MV5BODc2ZmUwOTktN2Q2ZC00N2VhLTkxYjktOTAzZmU1OTFiY2QxXkEyXkFqcGdeQXVyNjgyOTU0ODU@._V1_.jpg
nm10057097,Aslam,1171,https://ia.media-imdb.com/images/I/71zZ7BuqR6L.png
nm4289075,Aslam's Mother,1038,https://ia.media-imdb.com/images/I/81o6Plu2zKL.png
nm0944832,Damle,862,https://m.media-amazon.com/images/M/MV5BOGY0NjEyZjAtNGMxZS00ZjkyLWIyY2ItNzBkNmVjMWRhZDdjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10191564,Sadashiv Patil,844,https://ia.media-imdb.com/images/I/81ZH5suvriL.png
nm1873305,Minister,767,https://ia.media-imdb.com/images/I/71WpLwsr2PL.png
nm10191571,Inspector Mohan Srivastav,714,https://ia.media-imdb.com/images/I/714mUi4q10L.png
nm9844617,Mohan Srivastav Wife,705,https://ia.media-imdb.com/images/I/81P8aLKcK0L.png
nm6149569,Inspector Shankar Gaikwad,704,https://ia.media-imdb.com/images/I/71ZldHoJTkL.png
nm9839674,Hawaldar Bapat,702,https://ia.media-imdb.com/images/I/81ID4CqcvSL.png
nm9367029,Muslim Father,702,https://ia.media-imdb.com/images/I/81RDThZ2yuL.png
nm8224263,Muslim Girl,693,https://ia.media-imdb.com/images/I/81W7vnm0Z+L.png
nm4110158,Dr. Mehta,634,https://ia.media-imdb.com/images/I/71dTCW6dIFL.png
nm6598222,Dancer,630,https://m.media-amazon.com/images/M/MV5BMjAwOTEzOTIyN15BMl5BanBnXkFtZTgwNzQxMjMzOTE@._V1_.jpg
nm4443385,Beach Minister,483,https://m.media-amazon.com/images/M/MV5BNjMxYTEwNTYtYzYxNi00ZmI0LTk2ZjEtYmZlZjgxYmUzYTA4XkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
