nconst,character,screentime,image
nm0451379,Tarun Saluja,6492,https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_.jpg
nm1853502,Anjali Damle,6238,https://m.media-amazon.com/images/M/MV5BNjM4NWQwODUtMzQ5YS00Mjg3LTg2MjAtNTI2ZGYxZDViOTdmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm7837239,Anjali's Mother,6216,https://images-na.ssl-images-amazon.com/images/I/61fPjnx9ZjL.png
nm3190246,Hiral Gandhi,5804,https://m.media-amazon.com/images/M/MV5BOTQ3MzVkNjUtODYwNi00N2Q2LTg3YTAtNDUxM2JiNDViN2IyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm5546451,Kainaaz Khurrana,5595,https://m.media-amazon.com/images/M/MV5BMTE1YTY3OWItY2UxNC00NTI5LWFiZmUtZTZiNTY2MzdhYjJlXkEyXkFqcGdeQXVyODEyMTAwMDI@._V1_.jpg
nm3193511,Vasudev Dangle,5394,https://images-na.ssl-images-amazon.com/images/I/71nn4BEoALL.png
nm10880639,Assistant Lawyer,5212,https://images-na.ssl-images-amazon.com/images/I/71jQBFcokNL.png
nm1178211,Rohan Khurana,5037,https://images-na.ssl-images-amazon.com/images/I/719lDSeE5wL.png
nm10802349,Pramod Dangle,5030,https://images-na.ssl-images-amazon.com/images/I/71PcZdUG2LL.png
nm0434263,Justice Madgaonkar,4908,https://m.media-amazon.com/images/M/MV5BMTQ5NzcyMjU2NV5BMl5BanBnXkFtZTgwMjQzMjQ2MDI@._V1_.jpg
nm1265436,Jasbeer Walia,3412,https://images-na.ssl-images-amazon.com/images/I/61XFByJXR5L.png
nm0992986,Justice Indrani,3313,https://m.media-amazon.com/images/M/MV5BN2MxYzE5NTctYmM0MS00ZWEyLThmZjgtNjY5NzU4ODJkMTY1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3014046,PSI Milind Kasle,3141,https://m.media-amazon.com/images/M/MV5BMTc2NjQzNmQtN2MxMC00ZWRlLWJkMDAtNzNlOWRlNzU4NWQ5XkEyXkFqcGdeQXVyODEyMTAwMDI@._V1_.jpg
nm3252571,PSI Manali Indulkar,2678,https://m.media-amazon.com/images/M/MV5BZjhhMTk3YzctYjFiNi00YWJhLTg1OTQtZjVjNzM5ZDFkZTk1XkEyXkFqcGdeQXVyMDAyNTYxNA@@._V1_.jpg
nm6975822,Meera Singh,2674,https://images-na.ssl-images-amazon.com/images/I/61acBgvbz4L.png
nm1269584,Shilpa,1938,
nm9058562,Keerti,1554,https://m.media-amazon.com/images/M/MV5BNDc0ZmJkNDUtZjA3Ni00ZjEzLThkMjctZGQwNjIyNzg1NmYzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm0080349,Man medically examining Anjali in hospital,848,https://images-na.ssl-images-amazon.com/images/I/71JFJdVRXiL.png
nm9429122,Session Court Judge,532,https://m.media-amazon.com/images/M/MV5BMjNkNWQ1YTktMDYwNC00NGM1LWE3ZDAtY2U3NWQyYzA4OTEwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
