nconst,character,screentime,image
nm2240044,Professor Sharma,5322,https://m.media-amazon.com/images/M/MV5BMzI2ODZiYzMtMmY5MS00ZWVlLThmMTAtMzM0NWU0M2RhMmI4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2243737,Murli,4798,https://m.media-amazon.com/images/M/MV5BOWJmNDJkYjEtYmY5ZC00NmY5LTgyNTUtN2FjODQyZGZhNmIzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2585918,Shobha Sharma,4328,https://m.media-amazon.com/images/M/MV5BNzllMDk2OTQtYWQxYS00MDQwLWE5NmMtMmQ3NTMxMzNkMGM1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0659235,Lallan,2861,https://m.media-amazon.com/images/M/MV5BOGFiNTBlNDQtMjM0Ni00Njc3LTg4NGQtYmExMWY3ZWJjMTg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0154218,Shobha's Father,2090,https://images-na.ssl-images-amazon.com/images/I/91LX+QNT2JL.png
nm0794510,Lallan's mother,2026,https://m.media-amazon.com/images/M/MV5BYjlmMmE0NjItYzYxNy00NWE3LWI0OTktN2RiN2U5ZTk5MWJjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0864608,Inspector Tiwari,1810,https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_.jpg
nm0451272,Hawaldar shakharam,1509,https://m.media-amazon.com/images/M/MV5BYmFmZTQ4MjgtYmM0YS00ZGNiLTllM2MtNWRiZDlkMDVmMGE0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10551800,Mona,1394,https://images-na.ssl-images-amazon.com/images/I/81iUTpkjp-L.png
nm2287420,Pani puri wala,1055,https://m.media-amazon.com/images/M/MV5BOTgyNGJkNzctYTQ0MC00NGU1LThmZjQtNTA3MTRjYjg0YzQ4L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5650997,P A,1052,https://m.media-amazon.com/images/M/MV5BMTA0NmJkNDQtOWMxMS00MWI2LTgxNjAtMjM2MTkyYTlhMjE2XkEyXkFqcGdeQXVyMjQ2MDI5ODE@._V1_.jpg
nm0848308,Batra,1045,https://m.media-amazon.com/images/M/MV5BOGUwMjMxNjgtOTVjOC00ZmQ0LTg2MzctZWVjNDM4NTJhYzU1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9290252,Maya,708,https://images-na.ssl-images-amazon.com/images/I/81VEJAfFCmL.png
nm2610427,Maya's mother,510,https://m.media-amazon.com/images/M/MV5BYzU1ZGIzYTYtYTU0Zi00MWYxLWJiMmQtMTAyODQwY2FkZDU4XkEyXkFqcGdeQXVyMjQ2MDI5ODE@._V1_.jpg
nm1584260,D M,341,https://images-na.ssl-images-amazon.com/images/I/816LCE61q0L.png
