nconst,character,screentime,image
nm0222426,Shivaay,8496,https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_.jpg
nm6701018,Olga,4534,https://m.media-amazon.com/images/M/MV5BMTg1MTYxMDY2MF5BMl5BanBnXkFtZTgwMzczODAxNDE@._V1_.jpg
nm5837316,Gaura,4090,https://m.media-amazon.com/images/M/MV5BNzE3MzE1MzQtYTAxYy00NTg5LWJkZDUtMTE2MDBjN2E5ZjEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7548924,Anushka,3134,https://ia.media-imdb.com/images/I/81TaDea7MfL.png
nm2927540,Sgt. Nikolai,2508,
nm2351578,Ivanovich,2449,https://ia.media-imdb.com/images/I/810IfJBTdSL.png
nm6852371,Kancha,1875,https://ia.media-imdb.com/images/I/91LnUg+zhzL.png
nm1983888,Wahab,1874,https://m.media-amazon.com/images/M/MV5BMTU5ODc4NzMwMF5BMl5BanBnXkFtZTgwOTA3NzE0OTE@._V1_.jpg
nm8817217,8 Year old boy,1165,https://ia.media-imdb.com/images/I/61xZc+FrqbL.png
nm0439784,Anushka's Father,1110,https://m.media-amazon.com/images/M/MV5BMTkyNDk3MjEzN15BMl5BanBnXkFtZTYwOTQyODEz._V1_.jpg
nm1627867,Ustinov,1086,https://ia.media-imdb.com/images/I/71OCTp5Hp9L.png
nm8814633,Bathrobe Man,967,https://ia.media-imdb.com/images/I/71C4hrqRlYL.png
nm3561962,Indian Trekker,661,https://ia.media-imdb.com/images/I/81QiytpZSRL.png
nm8513418,Indian Interpreter,517,https://ia.media-imdb.com/images/I/814dljWNRpL.png
nm1295827,Colonel,469,https://m.media-amazon.com/images/M/MV5BNWQ1YmI5MmEtZDM3Ni00M2Y2LWE1ZGItZDgzYTI0NTc0N2Q3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8541059,Captain,469,https://ia.media-imdb.com/images/I/71DxKJvXpTL.png
nm8814628,Major,469,https://ia.media-imdb.com/images/I/71DxKJvXpTL.png
nm0795661,Anushka's Boss,433,https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_.jpg
nm8814634,Colonel Borris,394,https://ia.media-imdb.com/images/I/81Qy9vlgekL.png
nm8814632,Lady Doctor,354,https://ia.media-imdb.com/images/I/81pHecUIN6L.png
nm5034487,Doctor,313,https://ia.media-imdb.com/images/I/71REVvygJ0L.png
nm8814630,Yungchan,311,https://ia.media-imdb.com/images/I/61XR+4D827L.png
nm4130813,Pimp,302,https://m.media-amazon.com/images/M/MV5BOTQ0MTE5NmQtNzdiOC00Yzc4LTg0OTAtMWViMTA0YWEwNDcwXkEyXkFqcGdeQXVyNTQ4ODY0Mzk@._V1_.jpg
nm8396777,Andre,262,https://ia.media-imdb.com/images/I/71GkN1Mwp1L.png
nm3239779,Gangster,57,https://ia.media-imdb.com/images/I/81IPcMLpWsL.png
