nconst,character,screentime,image
nm6845062,Aman Tripathi,5618,https://m.media-amazon.com/images/M/MV5BY2Q1ZjJkNmQtMzMwYi00YzE5LWI1MjctOTJhNDEzM2UxYzQ4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0710549,Shankar Tripathi,5283,https://m.media-amazon.com/images/M/MV5BZmU2MzBmMmUtOTBlZS00M2MwLThmZmQtMjAzNWQyMjA3Njk5XkEyXkFqcGdeQXVyMTMzODY4OTg@._V1_.jpg
nm4731677,Kartik Singh,5180,https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_.jpg
nm0348481,Sunaina Tripathi,4598,https://m.media-amazon.com/images/M/MV5BNjA2OGYxNGYtZTcyNS00NWFiLWFhZTYtYTk4ZjE0OTZkNTNmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3392430,Keshav,4242,https://images-na.ssl-images-amazon.com/images/I/71Z1wZMWS5L.png
nm3119556,Champa Tripathi,4153,https://m.media-amazon.com/images/M/MV5BOTYwMTdhNGItOWFiMy00Nzk5LWFiZDctNzQyYTY5MDI0ODg1XkEyXkFqcGdeQXVyODI0ODU3MjE@._V1_.jpg
nm7590642,Kusum,3990,https://m.media-amazon.com/images/M/MV5BZGUwODc5ZWQtNzFjOS00YjljLTg3ZTctMDkzZGRmOGYxMDNhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2286188,Chaman Tripathi,3576,https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_.jpg
nm3116470,Goggle Tripathi,3342,https://m.media-amazon.com/images/M/MV5BMmVkYWYzNTMtMGY3OS00YWJkLWE4NzUtMDQ0M2RjMzRiZjUzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm11482109,Kusum's Mother,1216,https://images-na.ssl-images-amazon.com/images/I/81xunNbLG1L.png
nm7436773,Pandit,986,https://images-na.ssl-images-amazon.com/images/I/81+kyOZrM1L.png
nm4290029,Kusum's Father,622,https://images-na.ssl-images-amazon.com/images/I/81kY99JEycL.png
nm11048589,Ghodiwala 2,562,https://images-na.ssl-images-amazon.com/images/I/81dnme5ZgjL.png
nm5112974,Police inspector,333,https://images-na.ssl-images-amazon.com/images/I/81E3hUeXS8L.png
nm10024856,Devika's Father,297,https://images-na.ssl-images-amazon.com/images/I/81n56FnNMOL.png
nm6277267,Devika,287,https://m.media-amazon.com/images/M/MV5BMjMzNTM5NTIyOV5BMl5BanBnXkFtZTgwMTQ2ODA0OTE@._V1_.jpg
nm11482106,Train Sweeper Boy,224,https://images-na.ssl-images-amazon.com/images/I/81CLSNRYZpL.png
nm1531547,Doctor,219,https://m.media-amazon.com/images/M/MV5BNmZkYjkwNTgtYWJlNS00M2MwLWEwM2ItZDU0YzE5Zjg0NTg2XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm7436754,Old Man On Terrace,169,https://images-na.ssl-images-amazon.com/images/I/816geLwdJML.png
nm11482107,Ghodiwala 1,135,https://images-na.ssl-images-amazon.com/images/I/81whVzjQ9xL.png
nm11482114,Mother At Station,92,https://images-na.ssl-images-amazon.com/images/I/71dZN61ym1L.png
nm11482113,Father At Station,91,https://images-na.ssl-images-amazon.com/images/I/71dC0cHtXML.png
nm11482112,Kid At Station,90,https://images-na.ssl-images-amazon.com/images/I/71GFtW5DzTL.png
nm11482111,Young Kartik,53,https://images-na.ssl-images-amazon.com/images/I/81cSTZUTGQL.png
nm11482110,Young Aman,28,https://images-na.ssl-images-amazon.com/images/I/81VCtgEBaWL.png
nm10103238,Tv News Reporter,13,https://images-na.ssl-images-amazon.com/images/I/81Ku7b8kUGL.png
nm3492890,Goggle Sasuraal Uncle 2,12,https://images-na.ssl-images-amazon.com/images/I/71isAgcBPAL.png
