nconst,character,screentime,image
nm2144007,Praful Patel,6806,https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_.jpg
nm1133214,Kumud,2732,https://m.media-amazon.com/images/M/MV5BZTUwZjZiNDYtMTQ0MS00YzgyLWIwNzAtYTI2ZDIzMDg5NmZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6204616,Mohan,2275,https://ia.media-imdb.com/images/I/81kPtQoPcaL.png
nm3630374,Sameer,1795,
nm8715162,Salma,1423,https://ia.media-imdb.com/images/I/71bFAvzgFlL.png
nm5787162,Bugs,1083,https://m.media-amazon.com/images/M/MV5BNzQyZjlhZjctYWNiZS00NWFjLTg0ZTItYzBlN2MyZmJhZjI2XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm0625832,Mr. Parekh,994,https://ia.media-imdb.com/images/I/71AhcztpJ7L.png
nm1349993,Mrs. Parekh,994,https://ia.media-imdb.com/images/I/81jktliIOJL.png
nm1288068,Mike Mehndi,830,https://m.media-amazon.com/images/M/MV5BYTg4MzQ3ZDQtYzI4Zi00MTQ4LTgyZWUtODFlODcwYTI4YzIyXkEyXkFqcGdeQXVyMTUxMDQyNDM@._V1_.jpg
nm6422382,Amber,748,https://m.media-amazon.com/images/M/MV5BMjgwMGRiYzUtYzNiMS00ZjAyLWJhNjYtZjU3NDkyOTk4OTU3XkEyXkFqcGdeQXVyMTYzNTg1Nzk@._V1_.jpg
nm3897104,Noella,665,
nm6533472,Jerry,661,https://ia.media-imdb.com/images/I/71oxbNmXqFL.png
nm4409857,Joe,509,https://m.media-amazon.com/images/M/MV5BNTVhN2ZlMmItZmMyYS00NWViLTkwNWEtZjQxZDRiZWQ5MzQyXkEyXkFqcGdeQXVyMjc2MzQwNTA@._V1_.jpg
nm0741461,Robert,445,https://m.media-amazon.com/images/M/MV5BMjVlNTI2MmUtZGJmNS00OTIwLThkYTYtZTZiYmMxMDFmZjIxXkEyXkFqcGdeQXVyMjMyNzY0MQ@@._V1_.jpg
nm5750596,Adam,436,https://m.media-amazon.com/images/M/MV5BZTkyYTY5MjMtMjgyZS00ZWUxLWI1NTctZjZmY2IyMWE4Y2I5XkEyXkFqcGdeQXVyMTE0NDcyNzk2._V1_.jpg
nm0245696,Cynthia,400,https://m.media-amazon.com/images/M/MV5BNGVmZTNhMTctNDVkYi00NjMzLTk4OGUtOTQyMmJkZDBhNDJhXkEyXkFqcGdeQXVyMTY2MDM5NjQ@._V1_.jpg
nm9374749,Barrett Goodrich Bank Cashier,374,https://ia.media-imdb.com/images/I/713lG7lV+lL.png
nm9374737,Dave Mehta,357,https://ia.media-imdb.com/images/I/71iOEq42KmL.png
nm8629327,Amber's Husband,295,https://ia.media-imdb.com/images/I/71h13br0n8L.png
nm6018503,Praful's Nani,282,https://ia.media-imdb.com/images/I/81Oub4xNoHL.png
nm7243701,Steven,276,https://ia.media-imdb.com/images/I/71q7hHFVVBL.png
nm0282038,Junior Detective,261,https://m.media-amazon.com/images/M/MV5BMTk4MTgwOTYyN15BMl5BanBnXkFtZTgwMTc5MDA1NzE@._V1_.jpg
nm7146186,Boutique Attendant,253,https://ia.media-imdb.com/images/I/817V9nBc+PL.png
nm7429941,Julie,214,https://m.media-amazon.com/images/M/MV5BZDBkYTFhNGMtNGM0Yi00MWRjLThmOGMtM2JmNGRjYTMyYzJkXkEyXkFqcGdeQXVyNjYxMTE2OTY@._V1_.jpg
nm9294648,Souvenir Shop Vendor,212,https://ia.media-imdb.com/images/I/71UJsAkj-yL.png
nm5975230,Betty,212,https://ia.media-imdb.com/images/I/61OxUY0ctOL.png
nm0583620,Michael,195,https://m.media-amazon.com/images/M/MV5BMTUzOTQ0MDc0MF5BMl5BanBnXkFtZTcwNzk3NzQzMQ@@._V1_.jpg
nm6335433,Veena Malik,189,https://ia.media-imdb.com/images/I/81HQUj6GiKL.png
nm7359429,Trystan the Gas Attendant,164,https://ia.media-imdb.com/images/I/8172sHlWFrL.png
nm1882579,HR Manager,142,https://m.media-amazon.com/images/M/MV5BM2VjM2ViMzItNjU5NS00YTcyLWE4YTMtMzRkMmI5OGE4MzM3XkEyXkFqcGdeQXVyNDAzNDY2Mw@@._V1_.jpg
nm7072944,Salma's daughter Malala,141,
nm9374756,Salma's Husband,141,https://ia.media-imdb.com/images/I/71qqrkRsPjL.png
nm7081486,Bank Teller,122,https://m.media-amazon.com/images/M/MV5BMjdjMmM3ZjktMWRmOC00YjI0LTlmOTYtZTcwZTQ1MjFmYjBiXkEyXkFqcGdeQXVyMjkyMTgwMDE@._V1_.jpg
nm3954071,Nikhil,91,https://ia.media-imdb.com/images/I/81Wh1VQpCAL.png
nm8995907,Small Boy,14,https://ia.media-imdb.com/images/I/61J6Ne3uq+L.png
