nconst,character,screentime,image
nm4449711,Sonu,7790,https://m.media-amazon.com/images/M/MV5BODVjZDZlMDgtYWUyNS00MTY1LWFlZjMtZGM5NDJmY2JjM2I2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2194798,Titu,6558,https://m.media-amazon.com/images/M/MV5BZDRlNDNmMjEtNjQwOC00NGE2LWE2ZGYtMDcwZDI5ZTlkZDRhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2410391,Sweety,6109,https://m.media-amazon.com/images/M/MV5BODYxNDhjZmQtZWUxZS00ZDE1LWJjNTItYzE1NzdhZGIyYjcxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0768297,Lalu Kaka,5425,https://m.media-amazon.com/images/M/MV5BZGY2MjkyMzgtNTJiZS00MGM5LTg2YWMtNTUxY2IwYzMzZTVhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0622186,GhasitaRam,5411,https://m.media-amazon.com/images/M/MV5BMDBkODNiY2MtMzJmOC00ODRlLTk5ZTktMzkyZGRhMWNhOGUyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3078948,Titu's Grandmother,4920,https://m.media-amazon.com/images/M/MV5BZmJhOWM0MGQtODI0Ni00NWI4LWE2ZjItM2M2YTI2NGQwYjIzXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm1428293,Titu's father,4850,https://ia.media-imdb.com/images/I/71CVYjG9mvL.png
nm2217498,Titu's Mother,4817,https://m.media-amazon.com/images/M/MV5BMmUzNDg5M2ItZDY3My00NWRkLTlkYzQtZjBiMWViNmEwYWEyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2478391,Sweety's Mother,2919,https://m.media-amazon.com/images/M/MV5BODRhNDhmYmUtMDEwYy00MzI3LWEzNzEtNzkxZTY2YjZlZDNkXkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_.jpg
nm7674770,Pihu,2093,https://m.media-amazon.com/images/M/MV5BNDdiMWY5ZWMtY2I4ZS00MTc4LWFlZTUtYmE1YzBkMWVhNDgyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1616785,Sweety's Father,1993,https://ia.media-imdb.com/images/I/71xVGIqR08L.png
nm9791551,Babu,919,https://ia.media-imdb.com/images/I/81SwBX2KEVL.png
nm9791552,Bride's Father,480,https://ia.media-imdb.com/images/I/81bvRiA1XAL.png
nm3035937,Panditji,337,https://ia.media-imdb.com/images/I/71GSXgr7AWL.png
nm8265401,Anshul,157,https://ia.media-imdb.com/images/I/71yl-8h+kdL.png
