nconst,character,screentime,image
nm1094012,Vasu,7284,https://m.media-amazon.com/images/M/MV5BZmY5ZjQ2NmMtYmQzNi00MmMwLWEwODMtNTZkZWY0Yzc0NWYyXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_.jpg
nm5637317,Sri,6191,https://m.media-amazon.com/images/M/MV5BOWQxYzg2YmItZGU0MS00NDM2LTljNjUtZGZiZDZlMWE0OWY4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm5626108,Padmavathi,5550,https://m.media-amazon.com/images/M/MV5BNjdlZjUyZGUtYWNhMi00ZmUxLTk3NDQtYjgwYzdlZGU3MjE2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm0419707,Vasu's Grandmother,5368,https://m.media-amazon.com/images/M/MV5BZTI0MDEwN2UtMGMzNC00Y2RiLTkzNjItMjVmMWNkNDI3NGFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0695177,RK,5344,https://m.media-amazon.com/images/M/MV5BMjQ2MjA4NjU0MF5BMl5BanBnXkFtZTgwMTgwMDMzOTE@._V1_.jpg
nm0621418,Raju,5107,https://m.media-amazon.com/images/M/MV5BOGIwMGFhNjQtMTIxMi00MWVkLTk5OGMtYTRkN2MyODg4MWNlXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm0707399,Ramaraju,5055,https://ia.media-imdb.com/images/I/911XSADJdgL.png
nm7356625,Raju's Wife,5042,https://ia.media-imdb.com/images/I/81dOOmklelL.png
nm0803187,RK's Wife,5013,https://m.media-amazon.com/images/M/MV5BZmFiOWVmN2YtYmE1NS00MGJhLWFhNDEtZTVlNzQ5ODdkYmEzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm3601386,Kavya,4865,https://ia.media-imdb.com/images/I/814HygITxPL.png
nm4936620,Praveen,4557,https://m.media-amazon.com/images/M/MV5BNWRmOGM3MjQtMGU3Zi00ZmQ1LTliZmMtMTY3MGU5NjRhNjdkXkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_.jpg
nm0007404,Seetha,4027,https://ia.media-imdb.com/images/I/91by+aQH41L.png
nm9706424,Veerababu,3902,https://m.media-amazon.com/images/M/MV5BMWM3N2U0ZTctNWU1Ny00YTczLWI1MmEtNDk2YThmNmQ5ZGJjXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm9061359,Raju's Brother In Law,3889,https://ia.media-imdb.com/images/I/81+Iaibv2FL.png
nm5423757,Bujji,3672,https://ia.media-imdb.com/images/I/81lMmN2IjCL.png
nm1152338,Rajesh,3008,https://ia.media-imdb.com/images/I/81CTfZqAKbL.png
nm9855558,Servant,2718,https://ia.media-imdb.com/images/I/71+jdr8uOzL.png
nm6836532,Prabhu,2580,https://ia.media-imdb.com/images/I/815n7FHs-4L.png
nm0320880,Vasu's Relative,1769,https://ia.media-imdb.com/images/I/81kZQpLFgmL.png
nm2496992,Ajay,1710,https://ia.media-imdb.com/images/I/71bK-xRfAjL.png
nm5394373,Shekar,1244,https://ia.media-imdb.com/images/I/81Z-tPSpBHL.png
nm5393308,Sreenu,1097,https://ia.media-imdb.com/images/I/81IJY1pMfqL.png
nm4348544,Vasu's Grandfather,838,https://ia.media-imdb.com/images/I/81qsU9zcD+L.png
nm0707426,Vasu's Relative,772,https://ia.media-imdb.com/images/I/81MMNON4IML.png
nm4685592,Shanthi,716,https://ia.media-imdb.com/images/I/811s9ilnDqL.png
nm0004471,Minister,132,https://ia.media-imdb.com/images/I/715m8nt65wL.png
nm1714868,Minister's PA,132,https://ia.media-imdb.com/images/I/71cTILYUk-L.png
nm6252874,Rao,132,https://ia.media-imdb.com/images/I/71XwDlzjp+L.png
