nconst,character,screentime,image
nm3315894,Sahej,7426,https://m.media-amazon.com/images/M/MV5BMjM0NTM3ODY4Ml5BMl5BanBnXkFtZTgwNTA4MDM0OTE@._V1_.jpg
nm3797588,D,6932,https://m.media-amazon.com/images/M/MV5BMTUwMzY5NzEzNl5BMl5BanBnXkFtZTgwNTU0MDg3OTE@._V1_.jpg
nm6665182,Sushi,6841,https://m.media-amazon.com/images/M/MV5BMThjMzc2NTAtZmZhZS00M2U0LWE3MzgtMTFmZWEyYzlkZTljXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_.jpg
nm5644335,Poddy,6804,https://m.media-amazon.com/images/M/MV5BYzA3ODE5YzgtZjRmMi00MWVlLTk1MjItM2U5N2NhOWFmN2E2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjgyOTU0ODU@._V1_.jpg
nm3601766,Inayat,6800,https://m.media-amazon.com/images/M/MV5BMTU1NzU2Nzk0MV5BMl5BanBnXkFtZTgwMzIzMzg4MjE@._V1_.jpg
nm9611337,Alisha,6691,https://m.media-amazon.com/images/M/MV5BZTY5MTVjNmMtZDZmOS00YzU0LTk5NzItOTg4MTBlODM2NjcyXkEyXkFqcGdeQXVyODUxOTYyMzE@._V1_.jpg
nm9699292,Naussef,6639,https://images-na.ssl-images-amazon.com/images/I/71QH9-HTyNL.png
nm10154819,Nivi,6310,https://images-na.ssl-images-amazon.com/images/I/61DbLVLyM2L.png
nm7910915,Zayn,5868,https://m.media-amazon.com/images/M/MV5BYjRlNmY5YWEtODQyNy00ZmRiLWE5YWEtNTAxNTUxNWI0MTZmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjgyOTU0ODU@._V1_.jpg
nm0222150,Ram Prasad,5821,https://m.media-amazon.com/images/M/MV5BMTY4MzAyODE3NV5BMl5BanBnXkFtZTcwMjM3Mjc4OQ@@._V1_.jpg
nm11300610,Chotu,5453,
