nconst,character,screentime,image
nm5899377,Rohan Sachdev,8039,https://m.media-amazon.com/images/M/MV5BNjUyMTQyNDA2M15BMl5BanBnXkFtZTgwNDI4ODEzOTE@._V1_.jpg
nm4445116,Mridula aka Mia,7655,https://m.media-amazon.com/images/M/MV5BOWYzNDU4ZTMtMDRkYy00ZmNiLTk4OTctOThlMDk2NzNjNWFjXkEyXkFqcGdeQXVyNzY0MDQ4ODc@._V1_.jpg
nm9203528,Shreya Randhawa,6155,https://m.media-amazon.com/images/M/MV5BNjQ2MDU0ODEtNTk4Yi00OTk3LTg2OGItYTc5ZDA0MWIzZTMxXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm1249077,Manav Randhawa,6152,https://m.media-amazon.com/images/M/MV5BYWZmN2ZlMDktZGFhZC00NmJiLWIwNjEtNDIzMTI3M2VkY2EwL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm10616521,Puggi,6112,https://m.media-amazon.com/images/M/MV5BMjQxNjdjZTItNTM5MC00ZWM2LTk2YTItZTBiMzMyMmYzNGZkXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm10910963,Mikey,4314,https://images-na.ssl-images-amazon.com/images/I/61-1Y41YL1L.png
nm1267095,Principal Gujral,3643,https://m.media-amazon.com/images/M/MV5BOTg4MmEyOTEtOGRmZC00MzBkLWIxZGYtODhkMmJiNWQyNDRkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1493836,Coach Kuljeet,3467,https://m.media-amazon.com/images/M/MV5BZjMyZGViMmQtY2FkMi00NmQ2LTgwNzAtYmQ3MDJlMzIxNDdmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm2217498,Principal,3136,https://m.media-amazon.com/images/M/MV5BMmUzNDg5M2ItZDY3My00NWRkLTlkYzQtZjBiMWViNmEwYWEyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm6134773,Abhisheik Sharma,2725,https://images-na.ssl-images-amazon.com/images/I/61-CuEoSCyL.png
nm0656644,Coach Mahipal,2396,https://m.media-amazon.com/images/M/MV5BMDM4MTY3YzAtYmJlMC00YjdjLTg4YzgtZTJiMzI5NzJjODg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2265217,Rohan's Aunty,2264,https://m.media-amazon.com/images/M/MV5BYmUyMGNjMWEtZWNiYi00ZGQ3LTkxYjItMDM0Y2E1MzJkODU0XkEyXkFqcGdeQXVyMjQ2MDI5ODE@._V1_.jpg
nm1241985,Randhawa (Shreya and Manav's Father),2206,https://images-na.ssl-images-amazon.com/images/I/61wedwh0U5L.png
nm3190972,Dimpy,1610,https://m.media-amazon.com/images/M/MV5BNWY2N2E4Y2EtOGI2NS00YjkxLTgwMDAtNGU4MTZjN2RiZjAwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5332225,Jeet,1607,https://images-na.ssl-images-amazon.com/images/I/61Tr02TfB-L.png
nm10910951,Security Lahiri singh,1243,https://images-na.ssl-images-amazon.com/images/I/61cORhdgZqL.png
nm10684771,Mia's Mom,1174,https://images-na.ssl-images-amazon.com/images/I/61-53BzO4VL.png
nm3632004,Rohan's Uncle,1165,https://m.media-amazon.com/images/M/MV5BZGFjNzQ2ZDQtYjFmNi00MTk0LWEyOWYtZTFlNjFiYTUxNWQ0XkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm10910953,Indira,501,https://images-na.ssl-images-amazon.com/images/I/611qNj9kqBL.png
nm10910956,9 years Mia,454,https://images-na.ssl-images-amazon.com/images/I/61dkDmhHSjL.png
nm10910957,9years Rohan,453,https://images-na.ssl-images-amazon.com/images/I/61quBbQaTIL.png
nm10910961,15Years Rohan,438,https://images-na.ssl-images-amazon.com/images/I/61o5PL0lEsL.png
nm10910960,15Years Mia,434,https://images-na.ssl-images-amazon.com/images/I/61HlTCL4WeL.png
nm0007134,Judge in dance competition,297,https://m.media-amazon.com/images/M/MV5BMTg3NDQ1NTU1Ml5BMl5BanBnXkFtZTgwNzEzMjgzOTE@._V1_.jpg
nm10910970,Judge 3,297,https://images-na.ssl-images-amazon.com/images/I/610g3-5IX4L.png
nm1318670,Judge in dance competition,297,https://m.media-amazon.com/images/M/MV5BY2I3M2ZjNzMtZDgxOS00NGEyLWI2NDQtNGE0ODkzNjBmNjg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0000226,Cameo,142,https://m.media-amazon.com/images/M/MV5BNTczMzk1MjU1MV5BMl5BanBnXkFtZTcwNDk2MzAyMg@@._V1_.jpg
