nconst,character,screentime,image
nm0006795,Sultan Ali Khan,9450,https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_.jpg
nm8277952,Govind,7282,https://ia.media-imdb.com/images/I/816AHK5A0LL.png
nm3087728,Aarfa,6763,https://m.media-amazon.com/images/M/MV5BNGM5YmYwNjUtNzQyYS00OGY0LTljZDAtMDNiMjhiOTFiMzRiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2815326,Aakash Oberoi,5320,https://m.media-amazon.com/images/M/MV5BOTY0MTIwMTg4OV5BMl5BanBnXkFtZTgwODE4ODg2NDM@._V1_.jpg
nm1122912,Barkat,4621,https://m.media-amazon.com/images/M/MV5BNWY2YTdhY2QtMzMxMS00MjNhLTgxYmQtMjM2OGM4MjczNzBmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0393535,Fateh Singh,2683,https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_.jpg
nm8602112,Pawan,2659,https://ia.media-imdb.com/images/I/71IbuGa0tiL.png
nm2738962,Meiyang Chang,2555,https://ia.media-imdb.com/images/I/81bGxH5UdbL.png
nm3591303,Kubra Sait,2498,https://ia.media-imdb.com/images/I/81bNdTJrWIL.png
nm6155322,Vicky Kukreja,2144,https://ia.media-imdb.com/images/I/81pGvc74kJL.png
nm5125622,News Reporter,1987,https://m.media-amazon.com/images/M/MV5BMjQ5NTM2NTM4Nl5BMl5BanBnXkFtZTgwODYxNDg0MjI@._V1_.jpg
nm0756378,Gyan Singh Oberoi,1620,https://m.media-amazon.com/images/M/MV5BZTQ3NzAwZTQtMmNiYy00ZDE0LWIxOGEtMzA3MTI3NDU2ZTVkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4482880,Sharief Ali Khan,1502,https://ia.media-imdb.com/images/I/71Ua5JVRCKL.png
nm1585543,Sultan's grandmother,1298,https://ia.media-imdb.com/images/I/81nlsoCZNUL.png
nm8602124,Doctor Safdurjung,1033,https://ia.media-imdb.com/images/I/81L3Yce57CL.png
nm1047252,Marcus,990,https://m.media-amazon.com/images/M/MV5BMzc1NDE0NDMwNF5BMl5BanBnXkFtZTgwMTI3ODkxMTE@._V1_.jpg
nm8273874,Vicky Kukreja's Father,935,https://ia.media-imdb.com/images/I/81IO79J+APL.png
nm8602123,Minister,897,https://ia.media-imdb.com/images/I/71bcAjWF++L.png
nm2800599,Marrese,887,https://m.media-amazon.com/images/M/MV5BOTNmZTk1OWMtNDhkMi00YzFkLWE2NDYtMzNjZTIwZTQyNjBlXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm4054786,Tyron,829,
nm3841042,Haryanvi Tau,821,https://ia.media-imdb.com/images/I/715fGAwHp-L.png
nm7996094,Titu,792,
nm8602126,Titu's Friend 1,792,https://ia.media-imdb.com/images/I/716h+1x2nUL.png
nm8602127,Titu's Friend 2,791,https://ia.media-imdb.com/images/I/71HZ60MnfGL.png
nm5704026,Mr. Patel,559,
nm8602108,Investor 1,555,https://ia.media-imdb.com/images/I/81vciI5yUsL.png
nm8602107,News Reporter,521,https://ia.media-imdb.com/images/I/818d1-927DL.png
nm8273873,Doctor,505,https://ia.media-imdb.com/images/I/715BudSilvL.png
nm8602109,Sultan's Assistant,287,https://ia.media-imdb.com/images/I/71CSRt0rwcL.png
nm7487782,Nurse,246,https://ia.media-imdb.com/images/I/51ncFHcwIzL.png
nm1937218,Engine Driver,211,https://ia.media-imdb.com/images/I/81S3nrooWCL.png
nm8602122,Interstate wrestler,190,https://ia.media-imdb.com/images/I/81RVk4V4zlL.png
nm8602125,Inter State Coach,190,https://ia.media-imdb.com/images/I/81+NjSzgonL.png
nm1702813,Rajbeer,136,https://ia.media-imdb.com/images/I/71jZ7cB9ZqL.png
nm8273875,Sultan's Daughter,47,https://ia.media-imdb.com/images/I/61x3BcOgfRL.png
nm1203138,Advtisment's Director,14,https://m.media-amazon.com/images/M/MV5BMTU0NTc5NTAzM15BMl5BanBnXkFtZTgwMzYzMjgzOTE@._V1_.jpg
