nconst,character,screentime,image
nm0048075,Swami,6177,https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0004487,Radha,3879,https://m.media-amazon.com/images/M/MV5BMWYyYzhkYjItNDAyMi00ZTdhLWFjZGItM2M4ZGZjYjY5NjZhXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
nm2284981,Anand,2150,https://ia.media-imdb.com/images/I/51AqKN5Y5CL.png
nm1429271,Pooja,1960,https://m.media-amazon.com/images/M/MV5BM2JlMTBmZTktNzQyYS00ZTI1LWIxMjUtMWE3YjlmMDY5MTJhL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2719026,Young Anand,1707,https://ia.media-imdb.com/images/I/61TgDNGwmFL.png
nm3373837,Adarsh - Anand's son,1018,https://ia.media-imdb.com/images/I/616shy2-D3L.png
nm2082701,Manjeet - Muthu's friend,746,https://ia.media-imdb.com/images/I/71rmI6isriL.png
nm0440608,Muthu - Swami's friend,593,https://ia.media-imdb.com/images/I/71AAyIurjNL.png
nm3170206,Bakshi - Muthu's friend,586,https://ia.media-imdb.com/images/I/619QkMjPP6L.png
nm1022181,Waman Pandit - Swami's rural employer,491,https://m.media-amazon.com/images/M/MV5BNjZiMWJmYzUtZjY3My00MzFkLTk4YjktNWVkZTNhMjdhMjA4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2054901,Anand's boss,415,https://ia.media-imdb.com/images/I/71wPmc2vbzL.png
nm0000821,Narrator,374,https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_.jpg
nm2097061,Gotiya,116,https://ia.media-imdb.com/images/I/71RrY1B9U4L.png
nm3374375,Pandu - Gotiya's friend,116,https://ia.media-imdb.com/images/I/61W15Uq3pfL.png
