nconst,character,screentime,image
nm1189762,Bhoolabhai Desai,6279,https://m.media-amazon.com/images/M/MV5BNDdiODliYjgtNDNlNi00MTYxLWI5MTctYjljYTdhZWViMmEzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1759835,Sweetie Desai,6270,https://m.media-amazon.com/images/M/MV5BNjgzNzdmYWYtODdiNS00MGRmLTgyZGEtMThhZTBmODVkMmE4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm1185265,Jigna Desai,5938,https://m.media-amazon.com/images/M/MV5BOTIyNjA1YWUtMTQxNC00MjRmLTg4NzEtODdhMTUwMWM5YzViXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm5650997,Amit Shah,5338,https://m.media-amazon.com/images/M/MV5BMTA0NmJkNDQtOWMxMS00MWI2LTgxNjAtMjM2MTkyYTlhMjE2XkEyXkFqcGdeQXVyMjQ2MDI5ODE@._V1_.jpg
nm2960779,DK,5280,https://images-na.ssl-images-amazon.com/images/I/81n6GtO0n5L.png
nm4946996,Aakash Patel,5227,https://images-na.ssl-images-amazon.com/images/I/81VIh5YXI6L.png
nm6130778,Einstein,4689,https://images-na.ssl-images-amazon.com/images/I/71q9cX4G2TL.png
nm8009959,Aalia,3959,https://images-na.ssl-images-amazon.com/images/I/81F5OnWepPL.png
nm8018169,Ruma,3959,https://images-na.ssl-images-amazon.com/images/I/81Qb6t9Q9OL.png
nm7994656,Bubba Banerji,2567,https://images-na.ssl-images-amazon.com/images/I/71NGvbvfWPL.png
nm4557445,Rasiklal Mehta,2419,https://images-na.ssl-images-amazon.com/images/I/71-XkP9Z5UL.png
nm0409779,Jazz Mehta,2403,https://m.media-amazon.com/images/M/MV5BNTRjZWZkYmEtNzc1YS00MTNlLThjZWItNjUwMGRjMTQ4MjAzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8018170,Shruti Banerji,2141,https://images-na.ssl-images-amazon.com/images/I/81RN2bdmbIL.png
nm3848233,Panditji,1770,https://images-na.ssl-images-amazon.com/images/I/819dDRbhNDL.png
nm10663209,Aerobic Teacher,894,https://images-na.ssl-images-amazon.com/images/I/619Os9vUNaL.png
nm8374180,Police Inspector,546,https://images-na.ssl-images-amazon.com/images/I/71VWqL0OTPL.png
nm8041853,Doctor,423,https://images-na.ssl-images-amazon.com/images/I/71yd4ZUlVFL.png
nm8009958,Chaman Bhai,314,https://images-na.ssl-images-amazon.com/images/I/71eH++TiDSL.png
nm10663207,Police Commisioner,202,https://images-na.ssl-images-amazon.com/images/I/811izGAzu8L.png
nm2219430,Singer,134,https://images-na.ssl-images-amazon.com/images/I/81vYJuzNGBL.png
