nconst,character,screentime,image
nm0158112,Uyyalawada Narasimha Reddy,9324,https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3491819,Jackson,7741,https://m.media-amazon.com/images/M/MV5BMTcwMDA3MzA3N15BMl5BanBnXkFtZTgwOTUzMDY1MDI@._V1_.jpg
nm1094188,Padmamma,7424,https://m.media-amazon.com/images/M/MV5BODQ5NzZkYzgtZjEyOC00YjlkLWIzZjAtNzJmMDc4ZGVjOTk2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm5639197,Jangam Mallayya,6506,https://images-na.ssl-images-amazon.com/images/I/71SamfUshhL.png
nm0457410,Basireddy,2430,https://m.media-amazon.com/images/M/MV5BMjAyMDczNzc4Ml5BMl5BanBnXkFtZTgwNDM4NDczMDE@._V1_.jpg
nm1559782,Mallareddy,2149,https://images-na.ssl-images-amazon.com/images/I/71XXdBXnRhL.png
nm1298052,Ragavachari,2127,https://images-na.ssl-images-amazon.com/images/I/71A+hOsIlML.png
nm2699029,Cochrane,2054,https://m.media-amazon.com/images/M/MV5BMmM4NGZlMTgtMWZjMS00YjdlLWFlNDItYmIyODhiMGE2YmE1XkEyXkFqcGdeQXVyMTU5ODQyMDM@._V1_.jpg
nm1961459,Lakshmi,1941,https://m.media-amazon.com/images/M/MV5BNTkxOTJmMTktZTc1Yy00ZGU3LTkzNGUtYTE1ZGI4M2I5MjQ1XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm0045075,Veera Reddy,1916,https://m.media-amazon.com/images/M/MV5BZTA1M2U3NmYtYjgyZC00MzBjLTk0MmMtNDdlOTE0Y2ZiNzQ0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm11142061,Narsireddy,1916,https://images-na.ssl-images-amazon.com/images/I/716RVOvPZsL.png
nm0728262,Baba Khan,1913,https://m.media-amazon.com/images/M/MV5BZjVjZjdhYzEtYTUxZi00OTBjLWI4OGYtNGE5ZmQzMTFkYWEwXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm1679372,Avuku Raju,1869,https://m.media-amazon.com/images/M/MV5BOWFjZGYxZDMtYTBhYy00YWVkLTk2NDUtMmE2NTAyM2Q0OTMyXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm0103976,Obanna,1855,https://m.media-amazon.com/images/M/MV5BMzUxMTg4OTEwN15BMl5BanBnXkFtZTgwNTczNTc4OTE@._V1_.jpg
nm0803182,Uyyalawada Narasimha Reddy's mother,1729,https://m.media-amazon.com/images/M/MV5BYzZmYzQxZTMtZjAwMC00YzJmLTk2NmEtNTE1YTAyODNmYzg5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm0000821,Gosayi Venkanna,1558,https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_.jpg
nm1748588,Neelamma,1557,https://images-na.ssl-images-amazon.com/images/I/71PywkKGgML.png
nm1521381,Siddhamma,1440,https://m.media-amazon.com/images/M/MV5BOGY1OWIxNjItYzI0MS00NmUxLWFjZDQtOWUzNmI4ZjdiMTk2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm2011932,Jhansi Lakshmibai,1324,https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0621937,Jayaramireddy,1269,https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_.jpg
nm7807672,Child Unr,1170,https://images-na.ssl-images-amazon.com/images/I/61b62vGvyQL.png
nm0025606,Kumara Mallareddy,1120,https://images-na.ssl-images-amazon.com/images/I/71FJlCBZyDL.png
nm0151282,Subbayya,950,https://images-na.ssl-images-amazon.com/images/I/71gRspw5zlL.png
nm0080238,Govindayya Sharma,837,https://m.media-amazon.com/images/M/MV5BZDk0MDg5NjgtMjZkOS00MzdmLTg5M2UtZGNmYjhmNDIxMjBhXkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_.jpg
nm3760044,Madhavayyar,686,https://m.media-amazon.com/images/M/MV5BZTEzZjM4NDYtM2QwYS00ZWU4LTkxMmItZjFiOTk3ZTVlZThjXkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_.jpg
nm5375105,Bullireddy,659,https://images-na.ssl-images-amazon.com/images/I/81Pue6JoHFL.png
nm10925836,Varadareddy,365,https://images-na.ssl-images-amazon.com/images/I/71ByTKt16PL.png
nm11142068,Jhansi Commander,158,https://images-na.ssl-images-amazon.com/images/I/71rA0AXhq+L.png
