nconst,character,screentime,image
nm2281292,Lt.Commander Arjun Varma,5495,https://m.media-amazon.com/images/M/MV5BOTE2MzRlMzUtYTViMy00OTNhLTliZGMtNzYwZDk0NDcwY2U4L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0474609,XO Devaraj,4786,https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm5974195,V Murthy,4049,https://ia.media-imdb.com/images/I/81NGl7faxcL.png
nm1946407,Captain Rann Vijay Singh,3572,https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_.jpg
nm8900596,INS S 21 Navigation Officer,3308,https://ia.media-imdb.com/images/I/81Gto8h6vAL.png
nm5624098,INS S 21 Battery Operator,3207,https://m.media-amazon.com/images/M/MV5BYWFjMGU2MDEtYzY1Ni00Y2UzLWFiOGQtMjU3NjQ2NGI5M2NkXkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_.jpg
nm8488982,Rajeev Thakur,3057,https://ia.media-imdb.com/images/I/71Cf+Zv7qeL.png
nm3606518,B Sanjay,3015,https://m.media-amazon.com/images/M/MV5BZWNkY2YwNzAtNzYyZi00MGJlLWIyMzAtNmJiNDRjZjJmMWJlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm3966456,Ananya,2841,https://m.media-amazon.com/images/M/MV5BOTIwYTM2ODItMWRjMC00OGY3LWI2ZDAtMjE4N2I3ZjU3NDUyXkEyXkFqcGdeQXVyNjgyOTU0ODU@._V1_.jpg
nm0536799,Commander Razak Mohd Khan,2453,https://m.media-amazon.com/images/M/MV5BYWY4NjcwZmItMDViNy00MjRlLTkyMzEtY2YwNzFjYmE1OTEyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm8767692,Ranjan Sengupta,2391,
nm6419392,INS S 21 Radio Operator,1435,https://m.media-amazon.com/images/M/MV5BNmQ5ZjNjNzktMTUxNC00M2I3LWE3ZWQtZGZkZTNiYmY2MzAwXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm0700875,Admiral India Navy,773,https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_.jpg
nm8627568,Indian Cook Iqbal,336,https://ia.media-imdb.com/images/I/71kzyZxVKCL.png
nm0621937,Vice Admiral Indian Navy,295,https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_.jpg
nm1796211,Navy Staff,231,https://m.media-amazon.com/images/M/MV5BNDI0N2I0M2YtNGRiNC00MmNlLWI1ZWMtZGE5MzEyY2EwYjE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0000821,Narrator,107,https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_.jpg
nm0348004,RAW Agent,91,https://m.media-amazon.com/images/M/MV5BMmZkMjMzNTctNjVlNC00MTczLWE2YTUtMDZkYzNmN2NlZjc1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
