nconst,character,screentime,image
nm1912683,Theeran Thirumaran,7438,https://m.media-amazon.com/images/M/MV5BZTI4MDA3ZTYtMDg1OC00MTY1LWE4NjYtZWM2NTRlNGQ2OWU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTU0MzI1OTY@._V1_.jpg
nm3163756,Sathya,4082,https://ia.media-imdb.com/images/I/81K4z55cP1L.png
nm5114849,Priya,3476,https://m.media-amazon.com/images/M/MV5BNDdkMWYzNzEtMDE2My00ZWFkLWFjODItMWU1Y2ZiYmRhNTUyXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm1358872,Omveer Singh,2450,https://m.media-amazon.com/images/M/MV5BNGNhMjA2OGYtYWE5MC00ZWQwLThjNmYtNzQ4ZmMwYzk2Y2I3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9497173,Khaali,2240,https://ia.media-imdb.com/images/I/71wvAbRIzQL.png
nm8135135,Madhu,2218,https://ia.media-imdb.com/images/I/71R4J0fmwEL.png
nm5560667,Bora,2125,https://ia.media-imdb.com/images/I/81GoD8rFKqL.png
nm2982943,Banne Singh,1890,https://ia.media-imdb.com/images/I/81fqm3k6flL.png
nm9497172,IGP Vijay Rathore,1885,https://ia.media-imdb.com/images/I/71NCezUxwbL.png
nm1007581,Priya's Father,1241,https://m.media-amazon.com/images/M/MV5BZDYyY2U2NDctZGUyZC00YzU2LWJlNzgtNTNhMmEzYTFhOWI0XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_.jpg
nm9103143,Theeran's Sister,1149,https://ia.media-imdb.com/images/I/71aq4pfL1LL.png
nm0434263,Haram Singh,1034,https://m.media-amazon.com/images/M/MV5BMTQ5NzcyMjU2NV5BMl5BanBnXkFtZTgwMjQzMjQ2MDI@._V1_.jpg
nm0451239,Pandit,922,https://ia.media-imdb.com/images/I/81uWoa2AAZL.png
nm6442108,Priya's Mother,843,
nm3561501,Theeran's friend,371,https://ia.media-imdb.com/images/I/81mOEotlQ3L.png
nm0695595,Theeran's mother,348,https://m.media-amazon.com/images/M/MV5BOWZmM2JlZjgtMzIzNS00MWU0LTgzZTAtZDgxNGRkODM3NTZlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm3830348,Minister,325,https://ia.media-imdb.com/images/I/81h1bts2UcL.png
nm5805978,Dancer,32,
