nconst,character,screentime,image
nm0451148,Firangi,7895,https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_.jpg
nm0760778,Zafira,6079,https://m.media-amazon.com/images/M/MV5BNzcwNjcxYTYtYWFjOS00YzNiLTk5MjgtMjQ0NGFlMDY3ODU3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm0000821,Khudabaksh,5721,https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_.jpg
nm4269474,Shanichar,5591,https://m.media-amazon.com/images/M/MV5BODcyY2JlZTktYTU4ZS00MGY1LTgyY2MtODA4NWUyZDBlNjc5L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1427506,Capt James Powell,5444,https://ia.media-imdb.com/images/I/81e0SV+7eFL.png
nm0654197,John Clive,5430,https://m.media-amazon.com/images/M/MV5BMjEyOTY4ODk3N15BMl5BanBnXkFtZTcwMjM5NjM5Nw@@._V1_.jpg
nm3643109,Bhima,4082,https://ia.media-imdb.com/images/I/81p6rGEHBfL.png
nm0038023,Jaitumbi,3898,https://m.media-amazon.com/images/M/MV5BZjFlNDAzMWEtMmQxOS00MjRkLWJiOGMtODM5NmFkNzQ2YzZkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9912335,Young Zafira,2377,https://ia.media-imdb.com/images/I/81e-W8snicL.png
nm1229940,Suraiyya,1988,https://m.media-amazon.com/images/M/MV5BYjFjZGMwNWEtYWYwZi00NjdiLTk3NDMtOGVlOTkwOWFhYjE0XkEyXkFqcGdeQXVyMTA0NTY2NTIz._V1_.jpg
nm8543157,Mallika Bi,1853,https://m.media-amazon.com/images/M/MV5BN2Q2YTljMTMtZWFhNS00MDdjLWExNWMtOTA4ZjE4NDNkNzEwXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm0768296,Maharaja Sangram Singh,1766,https://m.media-amazon.com/images/M/MV5BMTgwNzc3MTI3M15BMl5BanBnXkFtZTcwNTU0NTcyMQ@@._V1_.jpg
nm0747172,Mirza Sikander Baig,1579,https://m.media-amazon.com/images/M/MV5BMjQzMjEyMDY1Nl5BMl5BanBnXkFtZTgwNTM3OTczOTE@._V1_.jpg
nm7926775,Ammi,1455,https://ia.media-imdb.com/images/I/71B4DYbHQsL.png
nm3473336,Bhure Lal,1321,https://ia.media-imdb.com/images/I/81+YVtvgjWL.png
nm0430816,Aslam,1109,https://ia.media-imdb.com/images/I/81IXV+lAMoL.png
nm1649699,Baniya Lalaji,872,https://ia.media-imdb.com/images/I/81E3rQt2wZL.png
nm7707369,Baniya Seth,872,https://m.media-amazon.com/images/M/MV5BZDI2NDM1YWItMmQwYS00OGMyLThlYzktZDI0ZWFmOWNjN2IxXkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
nm8744551,Spy,457,https://ia.media-imdb.com/images/I/81GpsGdzumL.png
