nconst,character,screentime,image
nm3508604,Titli,6472,https://m.media-amazon.com/images/M/MV5BMTcxODc3NzkxOF5BMl5BanBnXkFtZTgwMzUwOTU3MTE@._V1_.jpg
nm5769873,Daddy,4766,https://ia.media-imdb.com/images/I/71vxH4PwLfL.png
nm1748072,Pradeep,4384,https://m.media-amazon.com/images/M/MV5BMmM1MmZkN2YtN2MzOS00ZTk0LWFkMGItYjE0ZmI0NGZlM2RiXkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
nm1249116,Vikram,4216,https://m.media-amazon.com/images/M/MV5BMTIzOTE5MzMyMl5BMl5BanBnXkFtZTcwMjAyNzAyMg@@._V1_.jpg
nm6327552,Neelu,3900,https://ia.media-imdb.com/images/I/81XUMnN+WWL.png
nm3966365,Pintu,1148,https://ia.media-imdb.com/images/I/81aehyJ5LqL.png
nm6221925,Prince,1071,https://ia.media-imdb.com/images/I/81HIUuBQMrL.png
nm9140486,Prince's Wife,690,https://ia.media-imdb.com/images/I/81b66XqVLjL.png
nm9140481,Khanduri,662,https://ia.media-imdb.com/images/I/81noZgcFCvL.png
nm9140479,Madan Singh,607,https://ia.media-imdb.com/images/I/81t2UWLBYuL.png
nm9140480,Mrs. Madan Singh,589,https://ia.media-imdb.com/images/I/81MrVRT8AmL.png
nm9140492,Wedding Card Guy,515,https://ia.media-imdb.com/images/I/81ocSy0675L.png
nm9140487,Neelu's Cousins,375,https://ia.media-imdb.com/images/I/81TvC2XV0oL.png
nm9140488,Neelu's Cousins,375,https://ia.media-imdb.com/images/I/81TvC2XV0oL.png
nm5331987,Car Salesman,365,https://ia.media-imdb.com/images/I/81dM7A7bjuL.png
nm3838981,Prince Office Manager,357,https://ia.media-imdb.com/images/I/81JYOWm8d8L.png
nm9140489,Sample Flat - Husband,337,https://ia.media-imdb.com/images/I/71PLK5UohJL.png
nm9140490,Sample Flat - Wife,337,https://ia.media-imdb.com/images/I/819hwz8yE7L.png
nm9140491,Sample Flat - Son,337,https://ia.media-imdb.com/images/I/819hwz8yE7L.png
nm9140493,Sample Flat-Sales Executive,337,https://ia.media-imdb.com/images/I/71PLK5UohJL.png
nm9140482,Shop Guy-Dining Table,251,https://ia.media-imdb.com/images/I/91j1RgtltjL.png
nm5769873/trivia,nt1367773,248,
nm9140483,Suraj,235,https://ia.media-imdb.com/images/I/81NujEQJxKL.png
nm9140484,Sangeeta's Lawyer,188,https://ia.media-imdb.com/images/I/71d2d9+smGL.png
nm9140485,First Heist Girl,183,https://ia.media-imdb.com/images/I/816lNQOlQoL.png
