nconst,character,screentime,image
nm0006795,Laxman,6754,https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_.jpg
nm4269474,Narayan,3148,https://m.media-amazon.com/images/M/MV5BODcyY2JlZTktYTU4ZS00MGY1LTgyY2MtODA4NWUyZDBlNjc5L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm9040069,Guo,3037,https://ia.media-imdb.com/images/I/81x09GzpEEL.png
nm0451326,Bharat,2940,https://m.media-amazon.com/images/M/MV5BYmJjYjc5YWItYjRmZi00ZGFlLTg3YTMtOTZjZDc3YWRkZDg1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm4356709,Liling,2705,https://m.media-amazon.com/images/M/MV5BMzgzMDM4NjIxN15BMl5BanBnXkFtZTcwNTM0NTAwNw@@._V1_.jpg
nm0700875,Banne Chacha,2532,https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_.jpg
nm2240044,Shoe Shopkeeper,2439,https://m.media-amazon.com/images/M/MV5BMzI2ODZiYzMtMmY5MS00ZWVlLThmMTAtMzM0NWU0M2RhMmI4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1004985,Major Rajbir Tokas,2409,https://m.media-amazon.com/images/M/MV5BMzczOGQwZDMtYWQxYi00NDZhLTlkNWYtMjVkMzhlODcyZmU4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6087818,Jco,2316,https://ia.media-imdb.com/images/I/81eY+SXHnsL.png
nm1589340,Maya,2306,https://m.media-amazon.com/images/M/MV5BYjM3Njg0NGEtMDIwNS00NjQ2LWFkNDMtY2UyOWY4NGUyY2UxXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
nm8602109,Dhaba Waiter,1356,https://ia.media-imdb.com/images/I/71y6LYxmATL.png
nm6252371,Dhaba Owner,1324,https://ia.media-imdb.com/images/I/61VYE24jEIL.png
nm7477068,Laxmans Teacher,1199,https://ia.media-imdb.com/images/I/61+PgsdxhML.png
nm7707369,Panditji,1051,https://m.media-amazon.com/images/M/MV5BZDI2NDM1YWItMmQwYS00OGMyLThlYzktZDI0ZWFmOWNjN2IxXkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_.jpg
nm9083546,Laxmans Neighbour,1027,https://ia.media-imdb.com/images/I/71MuhbNP1aL.png
nm9083556,Guo's Grandfather,637,https://ia.media-imdb.com/images/I/81EiYCr+-wL.png
nm9083542,Fire Breather,447,https://ia.media-imdb.com/images/I/71F6oKPyyhL.png
nm9083543,Show Announcer,437,https://ia.media-imdb.com/images/I/71iysOq3FrL.png
nm0451321,Goga Pasha,395,https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7807765,Little Laxman (12),168,https://ia.media-imdb.com/images/I/7120ozuFwbL.png
nm8298334,Little Bharat (6),168,https://ia.media-imdb.com/images/I/71vbiW9UrcL.png
nm9083536,Father Fredrick,130,https://ia.media-imdb.com/images/I/71G4z31zuML.png
nm0195933,Little Laxman (6),115,https://ia.media-imdb.com/images/I/81ebCoBR88L.png
nm9083538,Gandhiji,113,https://ia.media-imdb.com/images/I/71pyoUM+9CL.png
nm9083554,Old Man,100,https://ia.media-imdb.com/images/I/81c21HUmwxL.png
nm9083545,Phone Man,46,https://ia.media-imdb.com/images/I/81SstB5fMSL.png
nm9083537,Little Narayan,38,https://ia.media-imdb.com/images/I/61Bl17fBdsL.png
nm8738703,Laughing Boy 1,14,https://m.media-amazon.com/images/M/MV5BMjliMmI1NTgtMzNlMy00NjhjLTlmZmEtNGJkYWQ5NWYzNDhlXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm9083555,Laughing Boy 2,14,https://ia.media-imdb.com/images/I/71qfsI63emL.png
