nconst,character,screentime,image
nm3630374,Vinayak,4680,
nm4663387,Vinayak's Wife,2707,https://ia.media-imdb.com/images/I/717mw77ZoZL.png
nm8375514,Mother,2313,https://ia.media-imdb.com/images/I/71WOJmJj+DL.png
nm3481909,Vinayak's Mistress,1973,https://m.media-amazon.com/images/M/MV5BMzNjMDM1ZGEtMWZmZC00ZmM5LWI0N2YtMTkwOTE5NTM0NGIwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm4149175,Pandurang,1946,
nm8334880,Grandmother,1538,https://ia.media-imdb.com/images/I/81DN3dd1xzL.png
nm10011687,Young Vinayak,1365,https://ia.media-imdb.com/images/I/71YC+P8vP9L.png
nm7807672,Sadashiv,1365,https://ia.media-imdb.com/images/I/71tBB1Xqd5L.png
nm3708961,Raghav,1297,https://ia.media-imdb.com/images/I/71tNcEhop5L.png
nm2933734,Sgt Cooper,1120,https://ia.media-imdb.com/images/I/71uSR3LnFHL.png
nm1390115,Raja,846,https://m.media-amazon.com/images/M/MV5BZjQ5ZWIxMjktNWI3ZC00ZDY0LTliNzYtYWJiNjVjM2FkNDc2XkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_.jpg
nm10273643,Sarkaar,577,https://ia.media-imdb.com/images/I/71Tm9YzESsL.png
nm10273645,Twin,481,https://ia.media-imdb.com/images/I/81WsBVvGamL.png
nm10273646,Twin,481,https://ia.media-imdb.com/images/I/81WsBVvGamL.png
