nconst,character,screentime,image
nm1799038,Sulu,7234,https://m.media-amazon.com/images/M/MV5BNDI3Mjk2MjgzMl5BMl5BanBnXkFtZTcwODQwMjI1OQ@@._V1_.jpg
nm1964139,Ashok,5281,https://m.media-amazon.com/images/M/MV5BNmQzNzE0OGEtYTFiMy00YTY0LWE0MmYtNTljM2Q2ZTM5MmMzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm9202335,Pranav,3388,https://ia.media-imdb.com/images/I/61MZlZcBmuL.png
nm1238337,Pankaj,3046,https://m.media-amazon.com/images/M/MV5BOTQyYzY1ZmQtN2YxZC00NDJlLWEwZTItM2ZmY2YyMmY0Mjg0XkEyXkFqcGdeQXVyMjE5MjAyNzE@._V1_.jpg
nm1226448,Maria,2574,https://m.media-amazon.com/images/M/MV5BMTQ1OTA2ODc4Ml5BMl5BanBnXkFtZTcwODE4MDY3Mg@@._V1_.jpg
nm7838160,RJ Albeli Anjali,1196,https://ia.media-imdb.com/images/I/616aQdF6iuL.png
nm1799038/trivia,nt0016680,949,
nm8652212,Lady Driver,847,https://ia.media-imdb.com/images/I/61CdyrMucqL.png
nm9202337,Kalpana,839,https://ia.media-imdb.com/images/I/612MkdScrbL.png
nm9202336,Aradhana,814,https://ia.media-imdb.com/images/I/61iLfVJ0xOL.png
nm9202339,Sulu's Father,718,https://ia.media-imdb.com/images/I/71kKFInu9GL.png
nm9202338,Sanjay,689,
nm9556934,Brother-in-law 1,608,https://ia.media-imdb.com/images/I/61cmTT61T+L.png
nm9556935,Brother-in-law 2,587,https://ia.media-imdb.com/images/I/61l2StOhpAL.png
nm6006846,Girija,504,https://ia.media-imdb.com/images/I/71Vpmc9iFVL.png
nm9556949,Tiffin Vendor,500,https://ia.media-imdb.com/images/I/71oZgqxFb4L.png
nm1226448/trivia,nt0086074,455,
nm9556940,Ansari,436,https://ia.media-imdb.com/images/I/619OzQX5+-L.png
nm9556939,Umar,433,https://ia.media-imdb.com/images/I/71DBxhghY2L.png
nm9556942,Mathuradas Brother 1,351,https://ia.media-imdb.com/images/I/71NjF0g-LHL.png
nm9556943,Mathuradas Brother 2,281,https://ia.media-imdb.com/images/I/71oZGEjiFoL.png
nm3861503,Guitarist,281,https://ia.media-imdb.com/images/I/81nUH+jegML.png
nm9556948,Chetan,279,https://ia.media-imdb.com/images/I/71ejoSE4BGL.png
nm4731677,Ayushmann Khurrana,262,https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_.jpg
nm9556944,Lalji Bhai's Assistant,260,https://ia.media-imdb.com/images/I/71GEX5ecr-L.png
nm8272199,Lalji Bhai,259,https://ia.media-imdb.com/images/I/71SpFQJAwqL.png
nm9556952,Ramesh,249,https://ia.media-imdb.com/images/I/61k9S60DKsL.png
nm9511368,Gym Receptionist,248,https://ia.media-imdb.com/images/I/7161kr368eL.png
nm3252571,Lady Police Officer Who gets Pranav home,238,https://m.media-amazon.com/images/M/MV5BZjhhMTk3YzctYjFiNi00YWJhLTg1OTQtZjVjNzM5ZDFkZTk1XkEyXkFqcGdeQXVyMDAyNTYxNA@@._V1_.jpg
nm9556945,Radio Executive,225,https://ia.media-imdb.com/images/I/71Rb+7UJcEL.png
nm1238337/trivia,nt1332675,225,
nm9556950,School Principal,223,https://ia.media-imdb.com/images/I/61gJYZFPEpL.png
nm9556938,Jet Air hostess 2,195,https://ia.media-imdb.com/images/I/61Ue5iS8ogL.png
nm9556937,Jet air hostess 1,189,https://ia.media-imdb.com/images/I/61RWr65g4pL.png
nm2719739,Sudhakar Shetty,163,https://ia.media-imdb.com/images/I/611PQxfPheL.png
nm2727573,Papad Client,161,https://ia.media-imdb.com/images/I/61PnbE4LP9L.png
nm9556951,Papad Client Executive,161,https://ia.media-imdb.com/images/I/61pYKj6N-SL.png
nm9556933,Referee,97,https://ia.media-imdb.com/images/I/61Iv24F45PL.png
