nconst,character,screentime,image
nm2194798,Chaman Kohli,6301,https://m.media-amazon.com/images/M/MV5BZDRlNDNmMjEtNjQwOC00NGE2LWE2ZGYtMDcwZDI5ZTlkZDRhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm5111948,Shashi Kohli,4499,https://images-na.ssl-images-amazon.com/images/I/716aVIL1rpL.png
nm1408928,Sushma Kohli,4433,https://images-na.ssl-images-amazon.com/images/I/71Sb5XGp3-L.png
nm3192510,Peon,3360,https://images-na.ssl-images-amazon.com/images/I/81-HEz5FzhL.png
nm3116470,Apasara Batra,3104,https://m.media-amazon.com/images/M/MV5BMmVkYWYzNTMtMGY3OS00YWJkLWE4NzUtMDQ0M2RjMzRiZjUzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm10033173,Goldy Kohli,2038,https://m.media-amazon.com/images/M/MV5BODY5N2YyNWQtNmNmMC00ODUwLWFkZjItNzZlNzU5MGMxNDRjXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm2345638,Sodhi Uncle,2001,https://m.media-amazon.com/images/M/MV5BY2JiNjNlZGMtODg2Mi00ZDgwLTlhZmEtYWMwZDU5ZTNkMzkxXkEyXkFqcGdeQXVyNjYxMTgzMzQ@._V1_.jpg
nm8465076,Sodhi Aunty,1977,https://images-na.ssl-images-amazon.com/images/I/71BwP1Ap6PL.png
nm4119465,Ekta Mam,1835,https://m.media-amazon.com/images/M/MV5BZTI0YmFkNWEtNmQ0ZC00OTA5LThiMjEtNDZhYWY2MjBlN2ZhXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm2209765,Apsara's Mother,1641,https://m.media-amazon.com/images/M/MV5BZWY5ZDY3NzEtYzkxYi00NjBmLTk3MDgtYWU4YjUyMzIxM2M4XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm3126571,Apsara's Father,1428,https://images-na.ssl-images-amazon.com/images/I/71uaeg2FsfL.png
nm8249479,Aaina,1395,https://m.media-amazon.com/images/M/MV5BMjYwYjZiMjctOWRjZC00Zjk0LThmNjEtY2E2M2EyMzY0N2IzXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm11175042,Professor Renu,1151,https://images-na.ssl-images-amazon.com/images/I/71nFN+P6IyL.png
nm0795661,Guru Ji,1145,https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_.jpg
nm10546370,Apasara's Sister,774,https://images-na.ssl-images-amazon.com/images/I/71nhy0wR3EL.png
nm3438304,Doctor,714,https://m.media-amazon.com/images/M/MV5BYjQzYzE5M2EtY2VjOC00YWJiLWIyYmEtNzgyYTkyN2YxZTA5XkEyXkFqcGdeQXVyNTcwNDU1NTI@._V1_.jpg
nm8602123,Principal,658,https://images-na.ssl-images-amazon.com/images/I/71F30BWSBXL.png
nm11059053,Dharam,562,https://images-na.ssl-images-amazon.com/images/I/61XIiYt7KjL.png
nm7739911,Peoni's Wife,555,https://images-na.ssl-images-amazon.com/images/I/71K54mIf4fL.png
nm11188257,Girl's Father,529,https://images-na.ssl-images-amazon.com/images/I/71uitLarvUL.png
nm1767605,Girl's Mother,529,https://images-na.ssl-images-amazon.com/images/I/71cUmIO071L.png
nm11188258,Wedding Alliance Girl,516,https://images-na.ssl-images-amazon.com/images/I/71SHTVK1r0L.png
nm10398218,Apsara's Boyfriend,447,https://images-na.ssl-images-amazon.com/images/I/81lERixp5CL.png
nm11188256,Shikha,415,https://images-na.ssl-images-amazon.com/images/I/71++zdt45GL.png
nm9813400,Chaman's Friend,415,https://m.media-amazon.com/images/M/MV5BOGYzYWNmODYtMGE3Zi00YjMxLTgzOWYtYmVmYWQzOWRjYTE4XkEyXkFqcGdeQXVyOTc4Mzc3NTE@._V1_.jpg
nm11188255,Reema,388,https://images-na.ssl-images-amazon.com/images/I/71tSXxZHO+L.png
nm9083559,Rathee,332,https://images-na.ssl-images-amazon.com/images/I/71XaVLIdk9L.png
nm6846756,Maid,149,https://images-na.ssl-images-amazon.com/images/I/71Vrs5Lrn9L.png
