nconst,character,screentime,image
nm4992002,Veer,6040,https://m.media-amazon.com/images/M/MV5BMDBjM2EyNWEtNDJhMi00MjMyLThjNDktNTNhOGU5MTQ5MDU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm3713653,Geet,5531,https://m.media-amazon.com/images/M/MV5BODY3MmFmMmQtYThhMi00YTk5LTg4YjQtNzhkYjU4YzQwZmE5XkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm0792116,Balli,5367,https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_.jpg
nm2541032,Prabhu Arora,4634,https://m.media-amazon.com/images/M/MV5BNmRkY2RhYWYtYzQwNS00ZjY5LTg4YTgtMWU4NjJjNjU2ZGUwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm0442479,Gopi Bhalla,3767,https://m.media-amazon.com/images/M/MV5BMTQ1ODk1MzQ0OF5BMl5BanBnXkFtZTcwNjc3MzA3MQ@@._V1_.jpg
nm9207426,Pammi,3706,https://images-na.ssl-images-amazon.com/images/I/71hR7EpNfpL.png
nm8379645,Jaggi,3386,https://images-na.ssl-images-amazon.com/images/I/71TXL+MB7SL.png
nm4620735,Mona Arora,3132,https://m.media-amazon.com/images/M/MV5BNTY4MDY3NDAtMjg5MS00YzFiLTg3NmItMjk3YjFmMGUxNGExXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm0439828,Juhi Bhalla,3124,https://m.media-amazon.com/images/M/MV5BZjFlNDQzZDMtMjI0Mi00ZTk4LWFmNmYtN2E5M2IzNjRjNDU4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm6155322,Veer's friend Lala,2193,
nm2768910,Rani Chaudhary,2130,https://m.media-amazon.com/images/M/MV5BNzI4YjEyNGQtMTcwZi00ZGMyLTk2ODMtYTU3ZWY0ZDRlODdmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm7460671,Gumrah Lakhnavi Shayar,2064,https://images-na.ssl-images-amazon.com/images/I/81azUw0b13L.png
nm7996094,KK urf Kakka,1749,https://images-na.ssl-images-amazon.com/images/I/81o0+jHvKWL.png
nm9283509,Special appreance in Dance Number,1726,https://m.media-amazon.com/images/M/MV5BMDE2YjU0NGUtNzQxMC00N2E1LWIwYjItYTM5N2M3MjJhNzE0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg
nm3901975,Bade Babu ji,1592,https://images-na.ssl-images-amazon.com/images/I/81naz8TO3IL.png
nm1763273,Firangi Mama,1552,https://images-na.ssl-images-amazon.com/images/I/81s-dbD3ALL.png
nm2234698,Firangi Mama's Right Hand,1540,https://images-na.ssl-images-amazon.com/images/I/81rdWOLbzNL.png
nm4736209,Rinki,1368,https://m.media-amazon.com/images/M/MV5BNjk0MThmMDAtY2E5OC00ZTEwLTkwNGUtZmYwZTQ2NmZkODMyXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg
nm9604375,Constable Ram Pal,1154,https://images-na.ssl-images-amazon.com/images/I/71DnkuCXdoL.png
nm9604376,Constable Rashida,1154,https://images-na.ssl-images-amazon.com/images/I/81EDap6Sa5L.png
nm0704694,Narrator,1038,https://m.media-amazon.com/images/M/MV5BOTc2ODgwODcxOF5BMl5BanBnXkFtZTgwNzM1MzYwMTE@._V1_.jpg
nm9496845,Jewelley Shop Customer,845,https://images-na.ssl-images-amazon.com/images/I/81S2qO-0ZSL.png
nm6638036,Sugandha's Mami Manjula,802,https://m.media-amazon.com/images/M/MV5BZGVhZTQxNzQtNjg4OC00M2JmLTk2NmQtNzE1M2U0ZjgxN2Y4XkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm2188355,Tolaram,750,https://m.media-amazon.com/images/M/MV5BMmJhMDBkMDYtMzllNC00NTBiLWIzNWMtMGFhYmM1ZmVjMDZjXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg
nm1822613,Tailor Shop Owner,744,https://images-na.ssl-images-amazon.com/images/I/81P2pWLvDdL.png
nm9604374,Channi,736,https://images-na.ssl-images-amazon.com/images/I/71AFlKTwMUL.png
nm9604377,Channi's Father,722,https://images-na.ssl-images-amazon.com/images/I/81wwpNR4R4L.png
nm8339680,Channi's Mother,702,https://images-na.ssl-images-amazon.com/images/I/81jawpfLHjL.png
nm9604378,Anu,692,https://images-na.ssl-images-amazon.com/images/I/81x8twlQggL.png
nm0442479/trivia,nt1273789,333,
nm1588618,Police Inspector Luthra,312,https://images-na.ssl-images-amazon.com/images/I/71DmkXH7VrL.png
