nconst,character,screentime,image
nm0004335,Kabir,8005,https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_.jpg
nm5899377,Khalid,5508,https://m.media-amazon.com/images/M/MV5BNjUyMTQyNDA2M15BMl5BanBnXkFtZTgwNDI4ODEzOTE@._V1_.jpg
nm0709359,Colonel Luthra,5368,https://m.media-amazon.com/images/M/MV5BMjQ3OTdkY2MtN2NlMC00Y2U2LWE4ODMtOWZlYzRmMzUwN2ExXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_.jpg
nm5947725,Aditi,5137,https://m.media-amazon.com/images/M/MV5BZjRiMmNjODEtNzY5NS00NDgzLWFkNzgtOTAwZTI2YTBiMmJmXkEyXkFqcGdeQXVyODE3ODgxNjQ@._V1_.jpg
nm4141638,Firoze Contractor,3075,https://images-na.ssl-images-amazon.com/images/I/71NHBGxM6iL.png
nm11071532,Prateik,3037,https://images-na.ssl-images-amazon.com/images/I/71cJS3P7yJL.png
nm1159564,Muthu,2697,https://images-na.ssl-images-amazon.com/images/I/61KtrG9D8hL.png
nm8738711,Ruhi,2220,https://images-na.ssl-images-amazon.com/images/I/616jqhkTo9L.png
nm5744729,Naina,2124,https://m.media-amazon.com/images/M/MV5BMTUyOTY5MTczMF5BMl5BanBnXkFtZTgwNTIzMjgzOTE@._V1_.jpg
nm7477071,V.K Naidu,1651,https://m.media-amazon.com/images/M/MV5BNDI1NmNkNzYtMWM2NC00NDg4LWE1ZTYtYmNlMjc5YWM0YzEzXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm11161821,Saini,1635,https://images-na.ssl-images-amazon.com/images/I/61iLH2mQYjL.png
nm5526917,Saurabh,1551,https://m.media-amazon.com/images/M/MV5BODcxYWM2NzctZTMzMS00ZmQzLTg5NTYtNmFjYTQwNTljZThlXkEyXkFqcGdeQXVyNjM3MDUzNzg@._V1_.jpg
nm10982465,Lt. Col. Jimmy Shroff,1417,https://images-na.ssl-images-amazon.com/images/I/71+5+MMY41L.png
nm0952232,Dr. Utpal Biswas,1349,https://m.media-amazon.com/images/M/MV5BNDY4ZGE3NzktMmM3NS00NTBhLTgyYTgtMTYxZDMwZjc3ZTFiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm2472901,Rizwan Iiyasi,1309,https://images-na.ssl-images-amazon.com/images/I/71c28CU40XL.png
nm0713618,Khalid's mother,1219,https://m.media-amazon.com/images/M/MV5BNDM2NTIzZGItMzRlMy00NjQ5LThkNTEtYTcxZDFhNzExMTQ5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg
nm1277428,Dr. Mallika Singhal,1135,https://m.media-amazon.com/images/M/MV5BZWMwZjQ2ZDQtZmY5My00MjQ0LWE2ZTUtYzhkOGI4ZDNhZjhhXkEyXkFqcGdeQXVyMTYzNTg1Nzk@._V1_.jpg
nm9389258,Engineer,1083,https://m.media-amazon.com/images/M/MV5BMTY2NDA5YzEtMWQxYy00MTg0LWIyY2EtMjIxYTQzNTZiZTFhXkEyXkFqcGdeQXVyNzM4MjU3NzY@._V1_.jpg
nm6603354,Sherna Patel,858,https://images-na.ssl-images-amazon.com/images/I/61TJtE+9PbL.png
nm11161825,Kid Khalid,844,https://images-na.ssl-images-amazon.com/images/I/61B0DYwRNUL.png
nm3816634,Shruti,804,https://images-na.ssl-images-amazon.com/images/I/61UFQ6eR2dL.png
nm8206851,Oslav,765,https://images-na.ssl-images-amazon.com/images/I/616XrfnJd5L.png
nm9253542,Feroze Contractor's Accountant,626,https://m.media-amazon.com/images/M/MV5BZjE1ZTVmMWQtM2ZjNi00NGExLWE4OWYtOTQwNDM0ZDQ5YzgxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
nm9640066,Basheer Hassib,617,https://images-na.ssl-images-amazon.com/images/I/71QV-2h+fNL.png
nm11161817,VK Naidu's Son,170,https://images-na.ssl-images-amazon.com/images/I/61go+35vhSL.png
nm11161818,VK Naidu's Daughter In law,170,https://images-na.ssl-images-amazon.com/images/I/61BuVBt8JFL.png
nm8738708,Sister Mary,155,https://images-na.ssl-images-amazon.com/images/I/612YuJCjcCL.png
nm10450056,Farid Haqqani,136,https://m.media-amazon.com/images/M/MV5BMTQ4ZjIyZjItMDI3NC00YmRjLTlhMmUtOTRjZDZjZDM0MjQ1XkEyXkFqcGdeQXVyNjI4NDAyOTI@._V1_.jpg
nm8715561,President,133,https://images-na.ssl-images-amazon.com/images/I/61UEkolYH+L.png
